ID,Year,Risk,LCS,Net Profit,Total Assets,Total Liabilites,Age,Sales,BookV,MarketV
MYOR,2017,0.00141,3,1630953830893.00,14915849900251.00,7561503434179.00,1977,20816673946473.00,7354346366072.00,45164573444500.00
PSDN,2017,0.06320,5,32150564335.00,690979867049.00,391494545681.00,1974,1399580416996.00,299485321368.00,368640000000.00
ROTI,2017,0.03943,2,135364021139.00,4559573709411.00,1739467993982.00,1995,2491100179560.00,2820105715429.00,7887773332200.00
SKBM,2017,0.01950,1,25880464791.00,1623027475045.00,599790014646.00,1973,1841487199828.00,1023237460399.00,1234092300155.00
SKLT,2017,0.00981,3,22970715348.00,636284210210.00,328714435982.00,1976,914188759779.00,307569774228.00,759814550000.00
STTP,2017,0.01173,5,216024079834.00,2342432443196.00,957660374836.00,1987,2825409180889.00,1384772068360.00,5711600000000.00
ULTJ,2017,0.01535,3,711681000000.00,5186940000000.00,9785185000000.00,1971,4879559000000.00,4208755000000.00,14961818760000.00
GGRM,2017,0.00747,3,7755347000000.00,66759930000000.00,24572266000000.00,1971,83305925000000.00,42187664000000.00,161238574400000.00
HMSP,2017,0.01442,3,12670534000000.00,43141063000000.00,9028078000000.00,1963,99091484000000.00,34112985000000.00,550184503737000.00
RMBA,2017,0.06233,1,-480063000000.00,14083598000000.00,5159928000000.00,1987,20258870000000.00,8923670000000.00,13832431775000.00
WIIM,2017,0.03314,3,40589790851.00,1225712093041.00,247620731930.00,1994,1476427090781.00,978091361111.00,608963390400.00
DVLA,2017,0.01195,3,162249293000.00,1640886147000.00,524586078000.00,1976,1575647308000.00,1116300069000.00,2195200000000.00
INAF,2017,0.01727,2,-46284759301.00,1529874782290.00,1003464884586.00,1996,1631317499096.00,526409897704.00,18285678250000.00
KAEF,2017,0.01262,2,331707917461.00,6096148972533.00,3523628217406.00,1971,6127479369403.00,2572520755127.00,14995800000000.00
KLBF,2017,0.00341,3,2453251410604.00,16616239416335.00,2722207633646.00,1966,20182120166616.00,13894031782689.00,79218956365900.00
MERK,2017,0.02635,3,144677294000.00,847006544000.00,231569103000.00,1970,1156648155000.00,615437441000.00,3808000000000.00
PYFA,2017,0.01270,3,7127402168.00,159563931041.00,50707930330.00,1976,223002490278.00,108856000711.00,97919640000.00
SIDO,2017,0.00638,3,533799000000.00,3158198000000.00,262333000000.00,1975,2573840000000.00,2895865000000.00,8175000000000.00
TSPC,2017,0.00499,3,557339581996.00,7434900309021.00,2352891899876.00,1970,9565462045199.00,5082008409145.00,8100000000000.00
ADES,2017,0.01463,3,38242000000.00,840236000000.00,417225000000.00,1985,814490000000.00,423011000000.00,522058668000.00
MBTO,2017,0.02309,1,-24690826118.00,780669761787.00,367927139244.00,1977,731577343628.00,412742622543.00,144450000000.00
MRAT,2017,0.00690,1,-1283332109.00,497354419089.00,130623005085.00,1978,344678666245.00,366731414004.00,88168000000.00
TCID,2017,0.10768,3,179126382068.00,2361807189430.00,503480953006.00,1969,2706394847919.00,1858326336424.00,3599093339300.00
UNVR,2017,0.00604,3,7004562000000.00,18906413000000.00,13733025000000.00,1933,41204510000000.00,5173388000000.00,426517000000000.00
KICI,2017,0.07649,3,7946916114.00,149420009884.00,57921570888.00,1974,113414715049.00,91498438996.00,47196000000.00
LMPI,2017,0.02552,4,-31140558174.00,834548374286.00,458292046535.00,1972,411144165006.00,376256327751.00,168422450723.00
INTP,2016,0.02714,3,3870319000000.00,30150580000000.00,4011877000000.00,1985,15361894000000.00,26138703000000.00,56690968164600.00
SMBR,2016,0.03068,2,250090525000.00,4368876996000.00,1248119294000.00,1974,1522808093000.00,3120757702000.00,27447123015000.00
SMCB,2016,0.02667,2,-285584000000.00,19763133000000.00,11702538000000.00,1971,9458403000000.00,8060595000000.00,6896610000000.00
SMGR,2016,0.03085,3,4535036823000.00,44226895982000.00,13652504525000.00,1953,26134306138000.00,30574391457000.00,54421696000000.00
WTON,2016,0.02313,1,281567627374.00,4663078318968.00,2171844871665.00,1997,3481731506128.00,2490474913654.00,7190259945000.00
AMFG,2016,0.03519,2,260444000000.00,5504890000000.00,1905626000000.00,1971,3724075000000.00,3599264000000.00,2907800000000.00
ARNA,2016,0.08856,3,91375910975.00,1543216299146.00,595128097997.00,1993,1511978367218.00,948088201259.00,3817544107520.00
IKAI,2016,0.24896,5,-145359281909.00,265028561223.00,326877597451.00,1991,83772635083.00,-61849036228.00,56188248806.00
KIAS,2016,0.09522,5,-252499000000.00,1859669927962.00,339640000000.00,1968,863715000000.00,1520030000000.00,1194328000000.00
MLIA,2016,0.67732,4,9039563000.00,7723578677.00,6110478983000.00,1986,5793737618000.00,1613099694000.00,727650000000.00
TOTO,2016,0.04039,3,168564583718.00,2581440938262.00,1057566418720.00,1977,2069017634710.00,1523874519542.00,5139360000000.00
ALKA,2016,0.00960,3,516167000.00,136618855000.00,75514424000.00,1972,1151605756000.00,61104431000.00,142146215400.00
ALMI,2016,0.02353,2,-99931854409.00,2153030503531.00,1749336161470.00,1978,2461800368336.00,403694342061.00,112728000000.00
BAJA,2016,0.02245,3,34393355090.00,982626956424.00,786124255950.00,1993,978940639564.00,196502700474.00,594000000000.00
BTON,2016,0.04233,5,-5974737984.00,177290628918.00,33757198849.00,1995,62760109860.00,143533430069.00,90720000000.00
GDST,2016,0.03593,2,31704557018.00,1256609869910.00,425486909790.00,1989,757282528180.00,832122960120.00,926600000000.00
INAI,2016,0.00254,4,35552975244.00,1339032413455.00,1081015810782.00,1971,1284510320664.00,258016602673.00,204336000000.00
ISSP,2016,0.00000,1,102925000000.00,6041811000000.00,3396754000000.00,1971,3259200000000.00,2645057000000.00,1509058327350.00
JKSW,2016,0.03948,5,-2895181993.00,273181586009.00,714935414562.00,1974,256234745701.00,-441753828553.00,11250000000.00
JPRS,2016,0.02270,5,-19268949081.00,351318309863.00,43106380598.00,1973,120691469840.00,308211919265.00,101250000000.00
LION,2016,0.00996,3,42345417055.00,685812995987.00,216209902816.00,1972,379137149036.00,470603093171.00,546016800000.00
LMSH,2016,0.01938,2,6252814811.00,162828169250.00,45511700128.00,1982,157855084036.00,117316469122.00,56640000000.00
PICO,2016,0.00221,3,13753451941.00,638566761462.00,372723897214.00,1983,705730705044.00,265842864248.00,126179250000.00
BUDI,2016,0.00350,3,38624000000.00,2931807000000.00,1766825000000.00,1979,2467553000000.00,1164982000000.00,391412770494.00
DPNS,2016,0.01110,2,10009391103.00,296129565784.00,32865162199.00,1982,115940711050.00,263264403585.00,132451980800.00
EKAD,2016,0.01548,2,90685821530.00,702508630708.00,110503822983.00,1981,568638832579.00,592004807725.00,412277250000.00
ETWA,2016,0.05472,3,-68488774415.00,1158935571034.00,1151833904006.00,1992,243013782107.00,7101667028.00,79400354000.00
INCI,2016,0.03166,5,9988836259.00,269351381344.00,26524918593.00,1981,176067561639.00,242826462751.00,55396880136.00
SRSN,2016,0.00818,3,11056051000.00,717149704000.00,315096071000.00,1982,500539668000.00,402053633000.00,301000000000.00
AKKU,2016,0.09823,1,20521981228.00,1070169294420.00,290207521860.00,2001,101375300385.00,779961772561.00,477260309064.00
AKPI,2016,0.00524,3,52393857000.00,2615909190000.00,1495874021000.00,1980,2047218639000.00,1120035169000.00,612000000000.00
APLI,2016,0.03718,3,25109482194.00,314468690130.00,67967245679.00,1992,319727703679.00,246501444451.00,168000000000.00
BRNA,2016,0.13071,2,-9533958000.00,2088696909000.00,1060343634000.00,1969,1364849405000.00,1311380454000.00,1077021000000.00
IGAR,2016,0.01351,3,69305629795.00,439465673296.00,65716637766.00,1975,792794834768.00,373749035530.00,505546340000.00
SIAP,2016,0.04158,4,-25245747695.00,228709028216.00,229729846283.00,1994,24836291703.00,-1020818067.00,1992000000000.00
CPIN,2016,0.00940,3,2251813000000.00,24204994000000.00,10047751000000.00,1972,38256857000000.00,14157243000000.00,50669820000000.00
JPFA,2016,0.04934,3,2171608000000.00,19251026000000.00,9878062000000.00,1971,27063310000000.00,9372964000000.00,16602310834050.00
MAIN,2016,0.05437,3,290230477000.00,3919764494000.00,2082189069000.00,1997,5246340041000.00,1837575425000.00,2910375000000.00
SIPD,2016,0.09474,1,13048780927.00,2567211193259.00,1424380421256.00,1985,2427199231761.00,1142830770003.00,910589753720.00
TIRT,2016,0.02230,2,28988504757.00,815997477795.00,689189375810.00,1981,843528979435.00,192637764711.00,126471843750.00
FASW,2016,0.06755,3,778012761625.00,8583223835997.00,5424781372865.00,1987,5874745032615.00,3158442463132.00,13380599449800.00
KBRI,2016,0.04830,3,-102760678879.00,1263726833318.00,844568778363.00,1978,161367353686.00,419158054955.00,434399786700.00
KDSI,2016,0.04027,3,47127349067.00,1142273020550.00,722488734446.00,1973,1995337146834.00,419784286104.00,141750000000.00
SPMA,2016,0.02968,3,81063430679.00,2158852415950.00,1047296887831.00,1976,1932435078255.00,1079146551310.00,410226765852.00
KRAH,2016,0.04269,2,826840802.00,598711565464.00,420562586151.00,1990,312547508818.00,178148979313.00,2292008400000.00
ASII,2016,0.01589,3,18302000000000.00,261855000000000.00,121949000000000.00,1957,181084000000000.00,139906000000000.00,335001402233500.00
AUTO,2016,0.02297,3,483421000000.00,14612274000000.00,4075716000000.00,1991,12806867000000.00,10536558000000.00,9880452650000.00
GJTL,2016,0.02643,3,626561000000.00,18697779000000.00,12849602000000.00,1951,13633556000000.00,5848177000000.00,3728736000000.00
IMAS,2016,0.00604,2,-312881005784.00,25633342258679.00,18923523905726.00,1997,15049532331662.00,6709818352953.00,3622514719720.00
INDS,2016,0.02800,3,49556367334.00,2477272502538.00,409208624907.00,1978,1637036790119.00,2068063877631.00,531562265100.00
LPIN,2016,0.05731,1,-64037459813.00,477838306256.00,426243285867.00,1982,141746864032.00,51595020389.00,86487500000.00
HDTX,2016,0.03098,2,-393567637000.00,4743579758000.00,3565112660000.00,1973,1647106585000.00,1178467098000.00,2088848424000.00
MYTX,2016,0.07168,1,-356491000000.00,1619757000000.00,2544730000000.00,1987,1296753000000.00,-924973000000.00,89466661197.00
RICY,2016,0.00108,2,14033426519.00,1288683925066.00,876184855001.00,1987,1221519096811.00,412499070065.00,98824496540.00
SSTM,2016,0.00372,3,-14582624323.00,670963993715.00,407944491993.00,1972,436691203876.00,263019501722.00,421527305160.00
STAR,2016,0.00014,5,462555306.00,690187353961.00,200161402637.00,2008,129480611941.00,490025951324.00,268800033712.00
TRIS,2016,0.01596,2,25213015324.00,639701164511.00,293073984034.00,2004,901909489240.00,346627180477.00,351298592400.00
UNIT,2016,0.00065,5,860775733.00,432912180372.00,188891359540.00,1988,104109821503.00,244021820832.00,27151992000.00
BATA,2016,0.05599,3,42231663000.00,804742917000.00,247587638000.00,1931,999802379000.00,557155279000.00,1027000000000.00
BIMA,2016,0.09851,5,17410120742.00,92041274561.00,189216746183.00,1988,172109865924.00,-97175471622.00,118594264620.00
AISA,2016,0.01884,2,719228000000.00,9254539000000.00,4990139000000.00,1990,6545680000000.00,4264400000000.00,6085127000000.00
ALTO,2016,0.00787,2,-26500565763.00,1165093632823.00,684252214422.00,1997,296471502365.00,480841418401.00,721579019700.00
CEKA,2016,0.07210,5,249697013626.00,1452964152418.00,538044038690.00,1968,4115541761173.00,997920113728.00,803250000000.00
DLTA,2016,0.05470,3,254509268000.00,1197796650000.00,185422642000.00,1970,774968268000.00,1012374008000.00,4003295250000.00
ICBP,2016,0.01218,3,3631301000000.00,28901948000000.00,10401125000000.00,2009,34466069000000.00,18500823000000.00,100000861100000.00
INDF,2016,0.01264,3,5266906000000.00,82174515000000.00,38233092000000.00,1990,66750317000000.00,43941423000000.00,69584880012500.00
MLBI,2016,0.09842,3,982129000000.00,2275038000000.00,1454398000000.00,1929,3263311000000.00,820640000000.00,24757250000000.00
MYOR,2016,0.04751,3,1388676127665.00,12922421859142.00,6657165872077.00,1977,18349959898358.00,6265255987065.00,36780061047625.00
PSDN,2016,0.01167,2,-36662178272.00,653796725408.00,373511385025.00,1974,932905806441.00,280285340383.00,192960000000.00
ROTI,2016,0.00608,3,279777368831.00,2919640858718.00,1476889086692.00,1995,2521920968213.00,1442751772026.00,8098880000000.00
SKBM,2016,0.05948,1,22545456050.00,1001657012004.00,633267725358.00,1973,1501115928446.00,368389286646.00,599379772160.00
SKLT,2016,0.00891,2,20646121074.00,568239939951.00,272088644079.00,1976,833850372883.00,296151295872.00,212748074000.00
STTP,2016,0.01341,2,174176717866.00,2336411494941.00,1167899357271.00,1987,2629107367897.00,168512137670.00,4178900000000.00
ULTJ,2016,0.03627,3,709825635742.00,4239199641365.00,749966146582.00,1971,4685987917355.00,3489233494783.00,13199905740000.00
GGRM,2016,0.00679,3,6672682000000.00,62951634000000.00,23387406000000.00,1971,76274147000000.00,39564228000000.00,122949223200000.00
HMSP,2016,0.04396,3,12762229000000.00,42508277000000.00,8333263000000.00,1963,95466657000000.00,34175014000000.00,445498234527000.00
RMBA,2016,0.04574,1,-2085811000000.00,13470943000000.00,4029576000000.00,1987,19228981000000.00,9441367000000.00,17618149945000.00
WIIM,2016,0.00980,3,106290306868.00,1353634132275.00,362540740471.00,1994,1685795530617.00,991093391804.00,923944454400.00
DVLA,2016,0.01708,3,152083400000.00,1531365558000.00,451785936000.00,1976,1451356680000.00,1079579612000.00,1965600000000.00
INAF,2016,0.00892,1,-17367399212.00,1381633321120.00,805876240489.00,1996,1674702722328.00,575757080631.00,14504571900000.00
KAEF,2016,0.01160,2,271597947663.00,4612562541064.00,2341155131870.00,1971,5811502656431.00,2271407409194.00,15273500000000.00
KLBF,2016,0.01082,3,2350884933551.00,15226009210657.00,2762162069572.00,1966,19374230957505.00,12463847141085.00,71015809996650.00
MERK,2016,0.02367,3,153842847000.00,743934894000.00,161262425000.00,1970,1034806890000.00,582672469000.00,4121600000000.00
PYFA,2016,0.00801,3,5146317041.00,167062795608.00,61554005181.00,1976,216951583953.00,105508790427.00,107016000000.00
SIDO,2016,0.00699,5,480525000000.00,2987614000000.00,229729000000.00,1975,2561806000000.00,2757885000000.00,7800000000000.00
